Dátum;Gép;Kezdő időpont;Kezdő időpont;Megrendelésszám
2020.07.21.;FESTŐ-4;06:00;21:39;MEGR003
2020.07.21.;CSOMAGOLÓ-1;06:00;22:00;MEGR003
2020.07.21.;CSOMAGOLÓ-2;06:00;21:51;MEGR003
2020.07.21.;CSOMAGOLÓ-3;06:00;22:00;MEGR003
2020.07.21.;VÁGÓ-1;06:00;18:52;MEGR004
2020.07.21.;VÁGÓ-2;06:00;18:52;MEGR004
2020.07.21.;VÁGÓ-3;06:00;18:52;MEGR004
2020.07.21.;VÁGÓ-4;06:00;18:52;MEGR004
2020.07.21.;VÁGÓ-5;06:00;18:32;MEGR004
2020.07.21.;VÁGÓ-6;06:00;18:32;MEGR004
2020.07.21.;VÁGÓ-5;18:32;22:00;MEGR015
2020.07.21.;VÁGÓ-6;18:32;22:00;MEGR015
2020.07.21.;VÁGÓ-1;18:52;22:00;MEGR015
2020.07.21.;VÁGÓ-2;18:52;22:00;MEGR015
2020.07.21.;VÁGÓ-3;18:52;22:00;MEGR015
2020.07.21.;VÁGÓ-4;18:52;22:00;MEGR015
2020.07.21.;HAJLÍTÓ-1;21:21;22:00;MEGR010
2020.07.21.;HAJLÍTÓ-2;21:21;22:00;MEGR010
2020.07.21.;HEGESZTŐ-1;21:36;22:00;MEGR010
2020.07.21.;HEGESZTŐ-2;21:36;22:00;MEGR010
2020.07.21.;TESZTELŐ-1;21:46;22:00;MEGR010
2020.07.21.;HEGESZTŐ-3;21:51;22:00;MEGR010
2020.07.21.;FESTŐ-1;21:51;22:00;MEGR010
2020.07.21.;FESTŐ-2;21:56;22:00;MEGR010
2020.07.22.;CSOMAGOLÓ-1;06:00;06:06;MEGR003
2020.07.22.;CSOMAGOLÓ-3;06:00;06:01;MEGR003
2020.07.22.;HAJLÍTÓ-1;06:00;22:00;MEGR010
2020.07.22.;HAJLÍTÓ-2;06:00;22:00;MEGR010
2020.07.22.;HEGESZTŐ-1;06:00;22:00;MEGR010
2020.07.22.;HEGESZTŐ-2;06:00;22:00;MEGR010
2020.07.22.;HEGESZTŐ-3;06:00;22:00;MEGR010
2020.07.22.;TESZTELŐ-1;06:00;22:00;MEGR010
2020.07.22.;FESTŐ-1;06:00;22:00;MEGR010
2020.07.22.;FESTŐ-2;06:00;22:00;MEGR010
2020.07.22.;VÁGÓ-1;06:00;19:34;MEGR015
2020.07.22.;VÁGÓ-2;06:00;19:34;MEGR015
2020.07.22.;VÁGÓ-3;06:00;19:34;MEGR015
2020.07.22.;VÁGÓ-4;06:00;19:34;MEGR015
2020.07.22.;VÁGÓ-5;06:00;19:08;MEGR015
2020.07.22.;VÁGÓ-6;06:00;19:08;MEGR015
2020.07.22.;FESTŐ-3;06:06;22:00;MEGR010
2020.07.22.;CSOMAGOLÓ-1;06:06;22:00;MEGR010
2020.07.22.;CSOMAGOLÓ-2;06:09;22:00;MEGR010
2020.07.22.;FESTŐ-4;06:11;22:00;MEGR010
2020.07.22.;CSOMAGOLÓ-3;06:19;22:00;MEGR010
2020.07.22.;VÁGÓ-5;19:08;22:00;MEGR008
2020.07.22.;VÁGÓ-6;19:08;22:00;MEGR008
2020.07.22.;VÁGÓ-1;19:34;22:00;MEGR008
2020.07.22.;VÁGÓ-2;19:34;22:00;MEGR008
2020.07.22.;VÁGÓ-3;19:34;22:00;MEGR008
2020.07.22.;VÁGÓ-4;19:34;22:00;MEGR008
2020.07.23.;HAJLÍTÓ-1;06:00;07:06;MEGR010
2020.07.23.;HAJLÍTÓ-2;06:00;07:06;MEGR010
2020.07.23.;HEGESZTŐ-1;06:00;07:16;MEGR010
2020.07.23.;HEGESZTŐ-2;06:00;07:01;MEGR010
2020.07.23.;HEGESZTŐ-3;06:00;07:16;MEGR010
2020.07.23.;TESZTELŐ-1;06:00;07:26;MEGR010
2020.07.23.;FESTŐ-1;06:00;07:34;MEGR010
2020.07.23.;FESTŐ-2;06:00;07:39;MEGR010
2020.07.23.;FESTŐ-3;06:00;07:19;MEGR010
2020.07.23.;FESTŐ-4;06:00;07:24;MEGR010
2020.07.23.;CSOMAGOLÓ-1;06:00;07:51;MEGR010
2020.07.23.;CSOMAGOLÓ-2;06:00;07:36;MEGR010
2020.07.23.;CSOMAGOLÓ-3;06:00;07:46;MEGR010
2020.07.23.;VÁGÓ-1;06:00;09:24;MEGR008
2020.07.23.;VÁGÓ-2;06:00;09:24;MEGR008
2020.07.23.;VÁGÓ-3;06:00;09:24;MEGR008
2020.07.23.;VÁGÓ-4;06:00;09:24;MEGR008
2020.07.23.;VÁGÓ-5;06:00;08:58;MEGR008
2020.07.23.;VÁGÓ-6;06:00;08:58;MEGR008
2020.07.23.;HAJLÍTÓ-1;07:06;22:00;MEGR004
2020.07.23.;HAJLÍTÓ-2;07:06;22:00;MEGR004
2020.07.23.;HEGESZTŐ-1;07:22;22:00;MEGR004
2020.07.23.;HEGESZTŐ-2;07:22;22:00;MEGR004
2020.07.23.;TESZTELŐ-1;07:34;22:00;MEGR004
2020.07.23.;HEGESZTŐ-3;07:38;22:00;MEGR004
2020.07.23.;FESTŐ-1;07:39;22:00;MEGR004
2020.07.23.;FESTŐ-2;07:44;22:00;MEGR004
2020.07.23.;FESTŐ-3;07:55;22:00;MEGR004
2020.07.23.;CSOMAGOLÓ-1;07:59;22:00;MEGR004
2020.07.23.;FESTŐ-4;08:00;22:00;MEGR004
2020.07.23.;CSOMAGOLÓ-2;08:04;22:00;MEGR004
2020.07.23.;CSOMAGOLÓ-3;08:15;22:00;MEGR004
2020.07.23.;VÁGÓ-5;08:58;18:58;MEGR006
2020.07.23.;VÁGÓ-6;08:58;18:58;MEGR006
2020.07.23.;VÁGÓ-1;09:24;19:24;MEGR006
2020.07.23.;VÁGÓ-2;09:24;19:24;MEGR006
2020.07.23.;VÁGÓ-3;09:24;19:24;MEGR006
2020.07.23.;VÁGÓ-4;09:24;19:24;MEGR006
2020.07.23.;VÁGÓ-5;18:58;20:02;MEGR009
2020.07.23.;VÁGÓ-6;18:58;20:02;MEGR009
2020.07.23.;VÁGÓ-1;19:24;20:36;MEGR009
2020.07.23.;VÁGÓ-2;19:24;20:36;MEGR009
2020.07.23.;VÁGÓ-3;19:24;20:28;MEGR009
2020.07.23.;VÁGÓ-4;19:24;20:28;MEGR009
2020.07.23.;VÁGÓ-5;20:02;22:00;MEGR002
2020.07.23.;VÁGÓ-6;20:02;22:00;MEGR002
2020.07.23.;VÁGÓ-3;20:28;22:00;MEGR002
2020.07.23.;VÁGÓ-4;20:28;22:00;MEGR002
2020.07.23.;VÁGÓ-1;20:36;22:00;MEGR002
2020.07.23.;VÁGÓ-2;20:36;22:00;MEGR002
2020.07.24.;HAJLÍTÓ-1;06:00;22:00;MEGR004
2020.07.24.;HAJLÍTÓ-2;06:00;22:00;MEGR004
2020.07.24.;HEGESZTŐ-1;06:00;22:00;MEGR004
2020.07.24.;HEGESZTŐ-2;06:00;22:00;MEGR004
2020.07.24.;HEGESZTŐ-3;06:00;22:00;MEGR004
2020.07.24.;TESZTELŐ-1;06:00;22:00;MEGR004
2020.07.24.;FESTŐ-1;06:00;22:00;MEGR004
2020.07.24.;FESTŐ-2;06:00;22:00;MEGR004
2020.07.24.;FESTŐ-3;06:00;22:00;MEGR004
2020.07.24.;FESTŐ-4;06:00;22:00;MEGR004
2020.07.24.;CSOMAGOLÓ-1;06:00;22:00;MEGR004
2020.07.24.;CSOMAGOLÓ-2;06:00;22:00;MEGR004
2020.07.24.;CSOMAGOLÓ-3;06:00;22:00;MEGR004
2020.07.24.;VÁGÓ-1;06:00;22:00;MEGR002
2020.07.24.;VÁGÓ-2;06:00;22:00;MEGR002
2020.07.24.;VÁGÓ-3;06:00;22:00;MEGR002
2020.07.24.;VÁGÓ-4;06:00;22:00;MEGR002
2020.07.24.;VÁGÓ-5;06:00;22:00;MEGR002
2020.07.24.;VÁGÓ-6;06:00;22:00;MEGR002
2020.07.25.;HAJLÍTÓ-1;06:00;22:00;MEGR004
2020.07.25.;HAJLÍTÓ-2;06:00;22:00;MEGR004
2020.07.25.;HEGESZTŐ-1;06:00;22:00;MEGR004
2020.07.25.;HEGESZTŐ-2;06:00;22:00;MEGR004
2020.07.25.;HEGESZTŐ-3;06:00;22:00;MEGR004
2020.07.25.;TESZTELŐ-1;06:00;22:00;MEGR004
2020.07.25.;FESTŐ-1;06:00;22:00;MEGR004
2020.07.25.;FESTŐ-2;06:00;22:00;MEGR004
2020.07.25.;FESTŐ-3;06:00;22:00;MEGR004
2020.07.25.;FESTŐ-4;06:00;22:00;MEGR004
2020.07.25.;CSOMAGOLÓ-1;06:00;22:00;MEGR004
2020.07.25.;CSOMAGOLÓ-2;06:00;22:00;MEGR004
2020.07.25.;CSOMAGOLÓ-3;06:00;22:00;MEGR004
2020.07.25.;VÁGÓ-1;06:00;15:16;MEGR002
2020.07.25.;VÁGÓ-2;06:00;15:16;MEGR002
2020.07.25.;VÁGÓ-3;06:00;15:08;MEGR002
2020.07.25.;VÁGÓ-4;06:00;15:08;MEGR002
2020.07.25.;VÁGÓ-5;06:00;14:42;MEGR002
2020.07.25.;VÁGÓ-6;06:00;14:42;MEGR002
2020.07.25.;VÁGÓ-5;14:42;22:00;MEGR014
2020.07.25.;VÁGÓ-6;14:42;22:00;MEGR014
2020.07.25.;VÁGÓ-3;15:08;22:00;MEGR014
2020.07.25.;VÁGÓ-4;15:08;22:00;MEGR014
2020.07.25.;VÁGÓ-1;15:16;22:00;MEGR014
2020.07.25.;VÁGÓ-2;15:16;22:00;MEGR014
2020.07.26.;HAJLÍTÓ-1;06:00;22:00;MEGR004
2020.07.26.;HAJLÍTÓ-2;06:00;22:00;MEGR004
2020.07.26.;HEGESZTŐ-1;06:00;22:00;MEGR004
2020.07.26.;HEGESZTŐ-2;06:00;22:00;MEGR004
2020.07.26.;HEGESZTŐ-3;06:00;22:00;MEGR004
2020.07.26.;TESZTELŐ-1;06:00;22:00;MEGR004
2020.07.26.;FESTŐ-1;06:00;22:00;MEGR004
2020.07.26.;FESTŐ-2;06:00;22:00;MEGR004
2020.07.26.;FESTŐ-3;06:00;22:00;MEGR004
2020.07.26.;FESTŐ-4;06:00;22:00;MEGR004
2020.07.26.;CSOMAGOLÓ-1;06:00;22:00;MEGR004
2020.07.26.;CSOMAGOLÓ-2;06:00;22:00;MEGR004
2020.07.26.;CSOMAGOLÓ-3;06:00;22:00;MEGR004
2020.07.26.;VÁGÓ-1;06:00;17:06;MEGR014
2020.07.26.;VÁGÓ-2;06:00;17:06;MEGR014
2020.07.26.;VÁGÓ-3;06:00;16:53;MEGR014
2020.07.26.;VÁGÓ-4;06:00;16:53;MEGR014
2020.07.26.;VÁGÓ-5;06:00;16:27;MEGR014
2020.07.26.;VÁGÓ-6;06:00;16:27;MEGR014
2020.07.26.;VÁGÓ-5;16:27;22:00;MEGR013
2020.07.26.;VÁGÓ-6;16:27;22:00;MEGR013
2020.07.26.;VÁGÓ-3;16:53;22:00;MEGR013
2020.07.26.;VÁGÓ-4;16:53;22:00;MEGR013
2020.07.26.;VÁGÓ-1;17:06;22:00;MEGR013
2020.07.26.;VÁGÓ-2;17:06;22:00;MEGR013
2020.07.27.;HAJLÍTÓ-1;06:00;22:00;MEGR004
2020.07.27.;HAJLÍTÓ-2;06:00;22:00;MEGR004
2020.07.27.;HEGESZTŐ-1;06:00;22:00;MEGR004
2020.07.27.;HEGESZTŐ-2;06:00;22:00;MEGR004
2020.07.27.;HEGESZTŐ-3;06:00;22:00;MEGR004
2020.07.27.;TESZTELŐ-1;06:00;22:00;MEGR004
2020.07.27.;FESTŐ-1;06:00;22:00;MEGR004
2020.07.27.;FESTŐ-2;06:00;22:00;MEGR004
2020.07.27.;FESTŐ-3;06:00;22:00;MEGR004
2020.07.27.;FESTŐ-4;06:00;22:00;MEGR004
2020.07.27.;CSOMAGOLÓ-1;06:00;22:00;MEGR004
2020.07.27.;CSOMAGOLÓ-2;06:00;22:00;MEGR004
2020.07.27.;CSOMAGOLÓ-3;06:00;22:00;MEGR004
2020.07.27.;VÁGÓ-1;06:00;22:00;MEGR013
2020.07.27.;VÁGÓ-2;06:00;22:00;MEGR013
2020.07.27.;VÁGÓ-3;06:00;22:00;MEGR013
2020.07.27.;VÁGÓ-4;06:00;22:00;MEGR013
2020.07.27.;VÁGÓ-5;06:00;22:00;MEGR013
2020.07.27.;VÁGÓ-6;06:00;22:00;MEGR013
2020.07.28.;HAJLÍTÓ-1;06:00;22:00;MEGR004
2020.07.28.;HAJLÍTÓ-2;06:00;22:00;MEGR004
2020.07.28.;HEGESZTŐ-1;06:00;22:00;MEGR004
2020.07.28.;HEGESZTŐ-2;06:00;22:00;MEGR004
2020.07.28.;HEGESZTŐ-3;06:00;22:00;MEGR004
2020.07.28.;TESZTELŐ-1;06:00;22:00;MEGR004
2020.07.28.;FESTŐ-1;06:00;22:00;MEGR004
2020.07.28.;FESTŐ-2;06:00;22:00;MEGR004
2020.07.28.;FESTŐ-3;06:00;22:00;MEGR004
2020.07.28.;FESTŐ-4;06:00;22:00;MEGR004
2020.07.28.;CSOMAGOLÓ-1;06:00;22:00;MEGR004
2020.07.28.;CSOMAGOLÓ-2;06:00;22:00;MEGR004
2020.07.28.;CSOMAGOLÓ-3;06:00;22:00;MEGR004
2020.07.28.;VÁGÓ-1;06:00;08:02;MEGR013
2020.07.28.;VÁGÓ-2;06:00;08:02;MEGR013
2020.07.28.;VÁGÓ-3;06:00;07:49;MEGR013
2020.07.28.;VÁGÓ-4;06:00;07:49;MEGR013
2020.07.28.;VÁGÓ-5;06:00;07:15;MEGR013
2020.07.28.;VÁGÓ-6;06:00;07:15;MEGR013
2020.07.28.;VÁGÓ-5;07:15;21:05;MEGR001
2020.07.28.;VÁGÓ-6;07:15;21:05;MEGR001
2020.07.28.;VÁGÓ-3;07:49;21:44;MEGR001
2020.07.28.;VÁGÓ-4;07:49;21:44;MEGR001
2020.07.28.;VÁGÓ-1;08:02;21:57;MEGR001
2020.07.28.;VÁGÓ-2;08:02;21:57;MEGR001
2020.07.28.;VÁGÓ-5;21:05;22:00;MEGR007
2020.07.28.;VÁGÓ-6;21:05;22:00;MEGR007
2020.07.28.;VÁGÓ-3;21:44;22:00;MEGR007
2020.07.28.;VÁGÓ-4;21:44;22:00;MEGR007
2020.07.28.;VÁGÓ-1;21:57;22:00;MEGR007
2020.07.28.;VÁGÓ-2;21:57;22:00;MEGR007
2020.07.29.;HAJLÍTÓ-1;06:00;22:00;MEGR004
2020.07.29.;HAJLÍTÓ-2;06:00;22:00;MEGR004
2020.07.29.;HEGESZTŐ-1;06:00;22:00;MEGR004
2020.07.29.;HEGESZTŐ-2;06:00;22:00;MEGR004
2020.07.29.;HEGESZTŐ-3;06:00;22:00;MEGR004
2020.07.29.;TESZTELŐ-1;06:00;22:00;MEGR004
2020.07.29.;FESTŐ-1;06:00;22:00;MEGR004
2020.07.29.;FESTŐ-2;06:00;22:00;MEGR004
2020.07.29.;FESTŐ-3;06:00;22:00;MEGR004
2020.07.29.;FESTŐ-4;06:00;22:00;MEGR004
2020.07.29.;CSOMAGOLÓ-1;06:00;22:00;MEGR004
2020.07.29.;CSOMAGOLÓ-2;06:00;22:00;MEGR004
2020.07.29.;CSOMAGOLÓ-3;06:00;22:00;MEGR004
2020.07.29.;VÁGÓ-1;06:00;22:00;MEGR007
2020.07.29.;VÁGÓ-2;06:00;22:00;MEGR007
2020.07.29.;VÁGÓ-3;06:00;22:00;MEGR007
2020.07.29.;VÁGÓ-4;06:00;22:00;MEGR007
2020.07.29.;VÁGÓ-5;06:00;22:00;MEGR007
2020.07.29.;VÁGÓ-6;06:00;22:00;MEGR007
2020.07.30.;HAJLÍTÓ-1;06:00;22:00;MEGR004
2020.07.30.;HAJLÍTÓ-2;06:00;22:00;MEGR004
2020.07.30.;HEGESZTŐ-1;06:00;22:00;MEGR004
2020.07.30.;HEGESZTŐ-2;06:00;22:00;MEGR004
2020.07.30.;HEGESZTŐ-3;06:00;22:00;MEGR004
2020.07.30.;TESZTELŐ-1;06:00;22:00;MEGR004
2020.07.30.;FESTŐ-1;06:00;22:00;MEGR004
2020.07.30.;FESTŐ-2;06:00;22:00;MEGR004
2020.07.30.;FESTŐ-3;06:00;22:00;MEGR004
2020.07.30.;FESTŐ-4;06:00;22:00;MEGR004
2020.07.30.;CSOMAGOLÓ-1;06:00;22:00;MEGR004
2020.07.30.;CSOMAGOLÓ-2;06:00;22:00;MEGR004
2020.07.30.;CSOMAGOLÓ-3;06:00;22:00;MEGR004
2020.07.30.;VÁGÓ-1;06:00;22:00;MEGR007
2020.07.30.;VÁGÓ-2;06:00;22:00;MEGR007
2020.07.30.;VÁGÓ-3;06:00;22:00;MEGR007
2020.07.30.;VÁGÓ-4;06:00;22:00;MEGR007
2020.07.30.;VÁGÓ-5;06:00;22:00;MEGR007
2020.07.30.;VÁGÓ-6;06:00;22:00;MEGR007
2020.07.31.;HAJLÍTÓ-1;06:00;12:26;MEGR004
2020.07.31.;HAJLÍTÓ-2;06:00;12:26;MEGR004
2020.07.31.;HEGESZTŐ-1;06:00;12:38;MEGR004
2020.07.31.;HEGESZTŐ-2;06:00;12:22;MEGR004
2020.07.31.;HEGESZTŐ-3;06:00;12:38;MEGR004
2020.07.31.;TESZTELŐ-1;06:00;12:48;MEGR004
2020.07.31.;FESTŐ-1;06:00;12:47;MEGR004
2020.07.31.;FESTŐ-2;06:00;12:52;MEGR004
2020.07.31.;FESTŐ-3;06:00;13:03;MEGR004
2020.07.31.;FESTŐ-4;06:00;13:08;MEGR004
2020.07.31.;CSOMAGOLÓ-1;06:00;13:23;MEGR004
2020.07.31.;CSOMAGOLÓ-2;06:00;13:07;MEGR004
2020.07.31.;CSOMAGOLÓ-3;06:00;13:18;MEGR004
2020.07.31.;VÁGÓ-1;06:00;13:02;MEGR007
2020.07.31.;VÁGÓ-2;06:00;13:02;MEGR007
2020.07.31.;VÁGÓ-3;06:00;12:44;MEGR007
2020.07.31.;VÁGÓ-4;06:00;12:44;MEGR007
2020.07.31.;VÁGÓ-5;06:00;12:05;MEGR007
2020.07.31.;VÁGÓ-6;06:00;12:05;MEGR007
2020.07.31.;VÁGÓ-5;12:05;22:00;MEGR012
2020.07.31.;VÁGÓ-6;12:05;22:00;MEGR012
2020.07.31.;HAJLÍTÓ-1;12:26;22:00;MEGR015
2020.07.31.;HAJLÍTÓ-2;12:26;22:00;MEGR015
2020.07.31.;HEGESZTŐ-1;12:41;22:00;MEGR015
2020.07.31.;HEGESZTŐ-2;12:41;22:00;MEGR015
2020.07.31.;VÁGÓ-3;12:44;22:00;MEGR012
2020.07.31.;VÁGÓ-4;12:44;22:00;MEGR012
2020.07.31.;TESZTELŐ-1;12:51;22:00;MEGR015
2020.07.31.;HEGESZTŐ-3;12:56;22:00;MEGR015
2020.07.31.;FESTŐ-1;12:56;22:00;MEGR015
2020.07.31.;FESTŐ-2;13:01;22:00;MEGR015
2020.07.31.;VÁGÓ-1;13:02;22:00;MEGR012
2020.07.31.;VÁGÓ-2;13:02;22:00;MEGR012
2020.07.31.;FESTŐ-3;13:11;22:00;MEGR015
2020.07.31.;CSOMAGOLÓ-2;13:14;22:00;MEGR015
2020.07.31.;FESTŐ-4;13:16;22:00;MEGR015
2020.07.31.;CSOMAGOLÓ-1;13:23;22:00;MEGR015
2020.07.31.;CSOMAGOLÓ-3;13:24;22:00;MEGR015
2020.08.01.;HAJLÍTÓ-1;06:00;22:00;MEGR015
2020.08.01.;HAJLÍTÓ-2;06:00;22:00;MEGR015
2020.08.01.;HEGESZTŐ-1;06:00;22:00;MEGR015
2020.08.01.;HEGESZTŐ-2;06:00;22:00;MEGR015
2020.08.01.;HEGESZTŐ-3;06:00;22:00;MEGR015
2020.08.01.;TESZTELŐ-1;06:00;22:00;MEGR015
2020.08.01.;FESTŐ-1;06:00;22:00;MEGR015
2020.08.01.;FESTŐ-2;06:00;22:00;MEGR015
2020.08.01.;FESTŐ-3;06:00;22:00;MEGR015
2020.08.01.;FESTŐ-4;06:00;22:00;MEGR015
2020.08.01.;CSOMAGOLÓ-1;06:00;22:00;MEGR015
2020.08.01.;CSOMAGOLÓ-2;06:00;22:00;MEGR015
2020.08.01.;CSOMAGOLÓ-3;06:00;22:00;MEGR015
2020.08.01.;VÁGÓ-1;06:00;22:00;MEGR012
2020.08.01.;VÁGÓ-2;06:00;22:00;MEGR012
2020.08.01.;VÁGÓ-3;06:00;22:00;MEGR012
2020.08.01.;VÁGÓ-4;06:00;22:00;MEGR012
2020.08.01.;VÁGÓ-5;06:00;22:00;MEGR012
2020.08.01.;VÁGÓ-6;06:00;22:00;MEGR012
2020.08.02.;HAJLÍTÓ-1;06:00;22:00;MEGR015
2020.08.02.;HAJLÍTÓ-2;06:00;22:00;MEGR015
2020.08.02.;HEGESZTŐ-1;06:00;22:00;MEGR015
2020.08.02.;HEGESZTŐ-2;06:00;22:00;MEGR015
2020.08.02.;HEGESZTŐ-3;06:00;22:00;MEGR015
2020.08.02.;TESZTELŐ-1;06:00;22:00;MEGR015
2020.08.02.;FESTŐ-1;06:00;22:00;MEGR015
2020.08.02.;FESTŐ-2;06:00;22:00;MEGR015
2020.08.02.;FESTŐ-3;06:00;22:00;MEGR015
2020.08.02.;FESTŐ-4;06:00;22:00;MEGR015
2020.08.02.;CSOMAGOLÓ-1;06:00;22:00;MEGR015
2020.08.02.;CSOMAGOLÓ-2;06:00;22:00;MEGR015
2020.08.02.;CSOMAGOLÓ-3;06:00;22:00;MEGR015
2020.08.02.;VÁGÓ-1;06:00;22:00;MEGR012
2020.08.02.;VÁGÓ-2;06:00;22:00;MEGR012
2020.08.02.;VÁGÓ-3;06:00;22:00;MEGR012
2020.08.02.;VÁGÓ-4;06:00;22:00;MEGR012
2020.08.02.;VÁGÓ-5;06:00;22:00;MEGR012
2020.08.02.;VÁGÓ-6;06:00;22:00;MEGR012
2020.08.03.;HAJLÍTÓ-1;06:00;22:00;MEGR015
2020.08.03.;HAJLÍTÓ-2;06:00;22:00;MEGR015
2020.08.03.;HEGESZTŐ-1;06:00;22:00;MEGR015
2020.08.03.;HEGESZTŐ-2;06:00;22:00;MEGR015
2020.08.03.;HEGESZTŐ-3;06:00;22:00;MEGR015
2020.08.03.;TESZTELŐ-1;06:00;22:00;MEGR015
2020.08.03.;FESTŐ-1;06:00;22:00;MEGR015
2020.08.03.;FESTŐ-2;06:00;22:00;MEGR015
2020.08.03.;FESTŐ-3;06:00;22:00;MEGR015
2020.08.03.;FESTŐ-4;06:00;22:00;MEGR015
2020.08.03.;CSOMAGOLÓ-1;06:00;22:00;MEGR015
2020.08.03.;CSOMAGOLÓ-2;06:00;22:00;MEGR015
2020.08.03.;CSOMAGOLÓ-3;06:00;22:00;MEGR015
2020.08.03.;VÁGÓ-1;06:00;22:00;MEGR012
2020.08.03.;VÁGÓ-2;06:00;22:00;MEGR012
2020.08.03.;VÁGÓ-3;06:00;22:00;MEGR012
2020.08.03.;VÁGÓ-4;06:00;22:00;MEGR012
2020.08.03.;VÁGÓ-5;06:00;22:00;MEGR012
2020.08.03.;VÁGÓ-6;06:00;22:00;MEGR012
2020.08.04.;HAJLÍTÓ-1;06:00;22:00;MEGR015
2020.08.04.;HAJLÍTÓ-2;06:00;22:00;MEGR015
2020.08.04.;HEGESZTŐ-1;06:00;22:00;MEGR015
2020.08.04.;HEGESZTŐ-2;06:00;22:00;MEGR015
2020.08.04.;HEGESZTŐ-3;06:00;22:00;MEGR015
2020.08.04.;TESZTELŐ-1;06:00;22:00;MEGR015
2020.08.04.;FESTŐ-1;06:00;22:00;MEGR015
2020.08.04.;FESTŐ-2;06:00;22:00;MEGR015
2020.08.04.;FESTŐ-3;06:00;22:00;MEGR015
2020.08.04.;FESTŐ-4;06:00;22:00;MEGR015
2020.08.04.;CSOMAGOLÓ-1;06:00;22:00;MEGR015
2020.08.04.;CSOMAGOLÓ-2;06:00;22:00;MEGR015
2020.08.04.;CSOMAGOLÓ-3;06:00;22:00;MEGR015
2020.08.04.;VÁGÓ-1;06:00;16:32;MEGR012
2020.08.04.;VÁGÓ-2;06:00;16:32;MEGR012
2020.08.04.;VÁGÓ-3;06:00;16:14;MEGR012
2020.08.04.;VÁGÓ-4;06:00;16:14;MEGR012
2020.08.04.;VÁGÓ-5;06:00;15:35;MEGR012
2020.08.04.;VÁGÓ-6;06:00;15:35;MEGR012
2020.08.04.;VÁGÓ-5;15:35;22:00;MEGR011
2020.08.04.;VÁGÓ-6;15:35;22:00;MEGR011
2020.08.04.;VÁGÓ-3;16:14;22:00;MEGR011
2020.08.04.;VÁGÓ-4;16:14;22:00;MEGR011
2020.08.04.;VÁGÓ-1;16:32;22:00;MEGR011
2020.08.04.;VÁGÓ-2;16:32;22:00;MEGR011
2020.08.05.;HAJLÍTÓ-1;06:00;22:00;MEGR015
2020.08.05.;HAJLÍTÓ-2;06:00;22:00;MEGR015
2020.08.05.;HEGESZTŐ-1;06:00;22:00;MEGR015
2020.08.05.;HEGESZTŐ-2;06:00;22:00;MEGR015
